Name, OID, Type, Value
ifIndex.2, .1.3.6.1.2.1.2.2.1.1.2, Integer, 2
ifDescr.2, .1.3.6.1.2.1.2.2.1.2.2, OctetString, eth0
ifType.2, .1.3.6.1.2.1.2.2.1.3.2, Integer, ethernet-csmacd (6)
ifMtu.2, .1.3.6.1.2.1.2.2.1.4.2, Integer, 1500
ifSpeed.2, .1.3.6.1.2.1.2.2.1.5.2, Gauge, 100000000
ifPhysAddress.2, .1.3.6.1.2.1.2.2.1.6.2, OctetString, E4-38-83-EF-7E-14
ifAdminStatus.2, .1.3.6.1.2.1.2.2.1.7.2, Integer, up (1)
ifOperStatus.2, .1.3.6.1.2.1.2.2.1.8.2, Integer, up (1)
ifLastChange.2, .1.3.6.1.2.1.2.2.1.9.2, TimeTicks, 0 millisecond (0)
ifInOctets.2, .1.3.6.1.2.1.2.2.1.10.2, Counter32, 2026974048
ifInUcastPkts.2, .1.3.6.1.2.1.2.2.1.11.2, Counter32, 19482447
ifInNUcastPkts.2, .1.3.6.1.2.1.2.2.1.12.2, Counter32, 0
ifInDiscards.2, .1.3.6.1.2.1.2.2.1.13.2, Counter32, 0
ifInErrors.2, .1.3.6.1.2.1.2.2.1.14.2, Counter32, 0
ifInUnknownProtos.2, .1.3.6.1.2.1.2.2.1.15.2, Counter32, 0
ifOutOctets.2, .1.3.6.1.2.1.2.2.1.16.2, Counter32, 612339779
ifOutUcastPkts.2, .1.3.6.1.2.1.2.2.1.17.2, Counter32, 1554952
ifOutNUcastPkts.2, .1.3.6.1.2.1.2.2.1.18.2, Counter32, 0
ifOutDiscards.2, .1.3.6.1.2.1.2.2.1.19.2, Counter32, 0
ifOutErrors.2, .1.3.6.1.2.1.2.2.1.20.2, Counter32, 0
ifOutQLen.2, .1.3.6.1.2.1.2.2.1.21.2, Gauge, 1000
ifSpecific.2, .1.3.6.1.2.1.2.2.1.22.2, OID, .0.0
ubntORIndex.1, .1.3.6.1.4.1.41112.1.1.1.1.1, Integer, 1
ubntORID.1, .1.3.6.1.4.1.41112.1.1.1.2.1, OID, ubntEdgeMax
ubntORDescr.1, .1.3.6.1.4.1.41112.1.1.1.3.1, OctetString, UBNT-EdgeMAX-MIB
ubntModel.0, .1.3.6.1.4.1.41112.1.5.1.1.0, OctetString, UISP-P
ubntSerialNumber.0, .1.3.6.1.4.1.41112.1.5.1.2.0, OctetString, E4:38:83:EF:7E:14
ubntVersion.0, .1.3.6.1.4.1.41112.1.5.1.3.0, OctetString, UISPP.v1.3.0
ubntPowerOutsCount.0, .1.3.6.1.4.1.41112.1.5.2.1.0, Gauge, 1
ubntPowerOutIndex.1, .1.3.6.1.4.1.41112.1.5.2.2.1.1.1, Integer, 1
ubntPowerOutVoltage.1, .1.3.6.1.4.1.41112.1.5.2.2.1.2.1, Integer, 28064
ubntPowerOutCurrent.1, .1.3.6.1.4.1.41112.1.5.2.2.1.3.1, Integer, 1242
ubntPowerOutPower.1, .1.3.6.1.4.1.41112.1.5.2.2.1.4.1, Integer, 34855
ubntPsuBaysNumber.0, .1.3.6.1.4.1.41112.1.5.3.1.0, Gauge, 4
ubntPsuIndex.1, .1.3.6.1.4.1.41112.1.5.3.2.1.1.1, Integer, 1
ubntPsuIndex.2, .1.3.6.1.4.1.41112.1.5.3.2.1.1.2, Integer, 2
ubntPsuIndex.3, .1.3.6.1.4.1.41112.1.5.3.2.1.1.3, Integer, 3
ubntPsuIndex.4, .1.3.6.1.4.1.41112.1.5.3.2.1.1.4, Integer, 4
ubntPsuType.1, .1.3.6.1.4.1.41112.1.5.3.2.1.2.1, Integer, ac (1)
ubntPsuType.2, .1.3.6.1.4.1.41112.1.5.3.2.1.2.2, Integer, ac (1)
ubntPsuType.3, .1.3.6.1.4.1.41112.1.5.3.2.1.2.3, Integer, dc (2)
ubntPsuType.4, .1.3.6.1.4.1.41112.1.5.3.2.1.2.4, Integer, dc (2)
ubntPsuStatus.1, .1.3.6.1.4.1.41112.1.5.3.2.1.3.1, Integer, on (1)
ubntPsuStatus.2, .1.3.6.1.4.1.41112.1.5.3.2.1.3.2, Integer, on (1)
ubntPsuStatus.3, .1.3.6.1.4.1.41112.1.5.3.2.1.3.3, Integer, standby (3)
ubntPsuStatus.4, .1.3.6.1.4.1.41112.1.5.3.2.1.3.4, Integer, standby (3)
ubntPsuOperStatus.1, .1.3.6.1.4.1.41112.1.5.3.2.1.4.1, Integer, up (1)
ubntPsuOperStatus.2, .1.3.6.1.4.1.41112.1.5.3.2.1.4.2, Integer, up (1)
ubntPsuOperStatus.3, .1.3.6.1.4.1.41112.1.5.3.2.1.4.3, Integer, up (1)
ubntPsuOperStatus.4, .1.3.6.1.4.1.41112.1.5.3.2.1.4.4, Integer, up (1)
ubntPsuVoltage.1, .1.3.6.1.4.1.41112.1.5.3.2.1.5.1, Integer, 0
ubntPsuVoltage.2, .1.3.6.1.4.1.41112.1.5.3.2.1.5.2, Integer, 0
ubntPsuVoltage.3, .1.3.6.1.4.1.41112.1.5.3.2.1.5.3, Integer, 26612
ubntPsuVoltage.4, .1.3.6.1.4.1.41112.1.5.3.2.1.5.4, Integer, 28430
ubntPsuTemperature.1, .1.3.6.1.4.1.41112.1.5.3.2.1.6.1, Integer, 0
ubntPsuTemperature.2, .1.3.6.1.4.1.41112.1.5.3.2.1.6.2, Integer, 0
ubntPsuTemperature.3, .1.3.6.1.4.1.41112.1.5.3.2.1.6.3, Integer, 0
ubntPsuTemperature.4, .1.3.6.1.4.1.41112.1.5.3.2.1.6.4, Integer, 14000
ubntPsuCharging.1, .1.3.6.1.4.1.41112.1.5.3.2.1.7.1, Integer, unknown (0)
ubntPsuCharging.2, .1.3.6.1.4.1.41112.1.5.3.2.1.7.2, Integer, unknown (0)
ubntPsuCharging.3, .1.3.6.1.4.1.41112.1.5.3.2.1.7.3, Integer, off (2)
ubntPsuCharging.4, .1.3.6.1.4.1.41112.1.5.3.2.1.7.4, Integer, off (2)
ubntPsuBatteryQuantity.1, .1.3.6.1.4.1.41112.1.5.3.2.1.8.1, Integer, 0
ubntPsuBatteryQuantity.2, .1.3.6.1.4.1.41112.1.5.3.2.1.8.2, Integer, 0
ubntPsuBatteryQuantity.3, .1.3.6.1.4.1.41112.1.5.3.2.1.8.3, Integer, 2
ubntPsuBatteryQuantity.4, .1.3.6.1.4.1.41112.1.5.3.2.1.8.4, Integer, 1
ubntPsuBatteryChargeLevel.1, .1.3.6.1.4.1.41112.1.5.3.2.1.9.1, Integer, 0
ubntPsuBatteryChargeLevel.2, .1.3.6.1.4.1.41112.1.5.3.2.1.9.2, Integer, 0
ubntPsuBatteryChargeLevel.3, .1.3.6.1.4.1.41112.1.5.3.2.1.9.3, Integer, 100
ubntPsuBatteryChargeLevel.4, .1.3.6.1.4.1.41112.1.5.3.2.1.9.4, Integer, 100
ubntPsuBatteryTimeRemaining.1, .1.3.6.1.4.1.41112.1.5.3.2.1.10.1, TimeTicks, 0 millisecond (0)
ubntPsuBatteryTimeRemaining.2, .1.3.6.1.4.1.41112.1.5.3.2.1.10.2, TimeTicks, 0 millisecond (0)
ubntPsuBatteryTimeRemaining.3, .1.3.6.1.4.1.41112.1.5.3.2.1.10.3, TimeTicks, 23 hours 30 minutes  (8460000)
ubntPsuBatteryTimeRemaining.4, .1.3.6.1.4.1.41112.1.5.3.2.1.10.4, TimeTicks, 2 hours 50 minutes  (1020000)
ubntPsuBatteryReplaceIndicator.1, .1.3.6.1.4.1.41112.1.5.3.2.1.11.1, Integer, unknown (0)
ubntPsuBatteryReplaceIndicator.2, .1.3.6.1.4.1.41112.1.5.3.2.1.11.2, Integer, unknown (0)
ubntPsuBatteryReplaceIndicator.3, .1.3.6.1.4.1.41112.1.5.3.2.1.11.3, Integer, noBatteryNeedsReplacing (1)
ubntPsuBatteryReplaceIndicator.4, .1.3.6.1.4.1.41112.1.5.3.2.1.11.4, Integer, noBatteryNeedsReplacing (1)
ubntPsuBatteryLastReplaceDate.1, .1.3.6.1.4.1.41112.1.5.3.2.1.12.1, OctetString, 
ubntPsuBatteryLastReplaceDate.2, .1.3.6.1.4.1.41112.1.5.3.2.1.12.2, OctetString, 
ubntPsuBatteryLastReplaceDate.3, .1.3.6.1.4.1.41112.1.5.3.2.1.12.3, OctetString, 09/21/2025
ubntPsuBatteryLastReplaceDate.4, .1.3.6.1.4.1.41112.1.5.3.2.1.12.4, OctetString, 09/21/2025
ubntThermometersCount.0, .1.3.6.1.4.1.41112.1.5.4.1.0, Gauge, 1
ubntThermIndex.1, .1.3.6.1.4.1.41112.1.5.4.2.1.1.1, Integer, 1
ubntThermType.1, .1.3.6.1.4.1.41112.1.5.4.2.1.2.1, Integer, power (3)
ubntThermTemperature.1, .1.3.6.1.4.1.41112.1.5.4.2.1.3.1, Integer, 14000
ubntFansCount.0, .1.3.6.1.4.1.41112.1.5.5.1.0, Gauge, 0
memTotal.0, .1.3.6.1.4.1.10002.1.1.1.1.1.0, Gauge, 59040
memFree.0, .1.3.6.1.4.1.10002.1.1.1.1.2.0, Gauge, 28332
memBuffer.0, .1.3.6.1.4.1.10002.1.1.1.1.3.0, Gauge, 0
memCache.0, .1.3.6.1.4.1.10002.1.1.1.1.4.0, Gauge, 0
swapTotal.0, .1.3.6.1.4.1.10002.1.1.1.2.1.0, Gauge, 0
swapFree.0, .1.3.6.1.4.1.10002.1.1.1.2.2.0, Gauge, 0
loadNumber.0, .1.3.6.1.4.1.10002.1.1.1.4.1.0, Integer, 3
loadIndex.1, .1.3.6.1.4.1.10002.1.1.1.4.2.1.1.1, Integer, 1
loadIndex.2, .1.3.6.1.4.1.10002.1.1.1.4.2.1.1.2, Integer, 2
loadIndex.3, .1.3.6.1.4.1.10002.1.1.1.4.2.1.1.3, Integer, 3
loadDescr.1, .1.3.6.1.4.1.10002.1.1.1.4.2.1.2.1, OctetString, 1 Minute Average
loadDescr.2, .1.3.6.1.4.1.10002.1.1.1.4.2.1.2.2, OctetString, 5 Minute Average
loadDescr.3, .1.3.6.1.4.1.10002.1.1.1.4.2.1.2.3, OctetString, 15 Minute Average
loadValue.1, .1.3.6.1.4.1.10002.1.1.1.4.2.1.3.1, Gauge, 10
loadValue.2, .1.3.6.1.4.1.10002.1.1.1.4.2.1.3.2, Gauge, 11
loadValue.3, .1.3.6.1.4.1.10002.1.1.1.4.2.1.3.3, Gauge, 8
